school_id,short_name,is_high_school
400137,LITTLE BLACK PEARL HS,True
609903,EDWARDS,False
400178,MOVING EVEREST,False
610394,UPLIFT HS,True
610279,TANNER,False
400083,ACERO - PAZ,False
610567,BRIDGESCAPE - ROSELAND HS,True
609762,JULIAN HS,True
400163,KIPP - BLOOM,False
609786,AVALON PARK,False
610034,LAWNDALE,False
400096,ROWE,False
610123,PENN,False
610250,SALAZAR,False
610347,CLAREMONT,False
609884,DEVER,False
609691,NORTH-GRAND HS,True
610131,PLAMONDON,False
610568,PATHWAYS - AVONDALE HS,True
610557,PATHWAYS - ASHBURN HS,True
400115,CATALYST - MARIA,True
610171,MIRELES,False
610381,BRONZEVILLE HS,True
609712,HIRSCH HS,True
610083,BEARD,False
610589,SOR JUANA,False
610231,NATIONAL TEACHERS,False
609803,BLAINE,False
610218,WARREN,False
610197,TALCOTT,False
400024,CICS - BASIL,False
610054,MARSH,False
610155,SAUGANASH,False
610176,SHOOP,False
610174,SHIELDS,False
609904,ELLINGTON,False
609874,DIRKSEN,False
610091,BROWN R,False
610070,MCPHERSON,False
609708,FOREMAN HS,True
610293,MELODY,False
610199,COLEMON,False
610304,PHOENIX MILITARY HS,True
610177,SKINNER,False
610185,STEVENSON,False
610044,LOWELL,False
610363,DISNEY,False
610271,JENSEN,False
609920,KANOON,False
610391,LINDBLOM HS,True
609723,MARSHALL HS,True
610101,OGDEN ES,False
610057,FAIRFIELD,False
400046,LEARN - BUTLER,False
610183,SPENCER,False
610209,VOLTA,False
610159,SCAMMON,False
609898,EBERHART,False
609810,BRIDGE,False
609925,KELLMAN,False
400059,NORTH LAWNDALE - COLLINS HS,True
400058,NORTH LAWNDALE - CHRISTIANA HS,True
609832,BYRNE,False
400054,NOBLE - PRITZKER HS,True
610200,THORP J,False
610587,DYETT ARTS HS,True
610380,WILLIAMS HS,True
610532,HERNANDEZ,False
610353,CALMECA,False
609927,FOSTER PARK,False
610030,KOZMINSKI,False
609808,HALEY,False
609861,CLISSOLD,False
610056,MASON,False
400077,U OF C - WOODLAWN HS,True
400149,ACERO - SOTO HS,True
610167,SEWARD,False
400180,KIPP - ONE,False
400156,NOBLE - BUTLER HS,True
610268,ASHE,False
610590,BRONZEVILLE CLASSICAL,False
610340,CHICAGO ACADEMY HS,True
610230,WILDWOOD,False
609759,CLEMENTE HS,True
610100,WEST PARK,False
610201,THORP O,False
400082,ACERO - FUENTES,False
609981,HEARST,False
610139,PULLMAN,False
610216,WALSH,False
609790,BARTON,False
400157,NOBLE - BAKER HS,True
609726,BROOKS HS,True
610235,YOUNG ES,False
609791,BASS,False
609930,FUNSTON,False
400011,LOCKE A,False
610029,LOZANO,False
609977,WOODLAWN,False
609854,CHOPIN,False
400143,YCCS - WEST TOWN,True
610352,DURKIN PARK,False
609960,HALE,False
400101,ACERO - CISNEROS,False
